ID,Parity,maxDIM,Parity_class,Lac_len_group,a,b,b0,c,Tp,Mp,MY_tmax,t_max,Persistency,Model
1375_2,2,425,Multiparous,Group2,43.4181909265318,25.1091713130103,0.0900207259652446,0.0769953232094334,37.5416703650166,39.6723512590212,10.6951785625226,425,-0.0747878429244183,Wilmink
1376_7,7,385,Multiparous,Group1,24.8601648982246,0.0349493085258511,0.0518069454618625,0.00226538452376645,52.8144276260572,41.4505407056796,20.4033744015994,385,-0.0633596641590061,Dijkstra
1376_7,7,385,Multiparous,Group1,23.3076854343879,0.180501730612228,,0.00325149734115736,55.5134178728804,40.1767769962824,19.5217143298283,385,-0.0626886306966064,Wood
1376_7,7,385,Multiparous,Group1,45.0465134296358,26.7526342230464,0.071339293230706,0.0670970300025361,46.9298234477958,40.9571276691965,19.2141568786279,385,-0.0643149626870771,Wilmink
1389_5,5,383,Multiparous,Group1,24.4692090343828,0.0115475367771175,0.00172296823927384,0.0106412085016369,47.4402765327862,24.9936288632727,10.5866606228419,383,-0.0429341402822989,Dijkstra
1389_5,5,383,Multiparous,Group1,15.7118566657372,0.1719295733662,,0.00340579192771407,50.48152588746,25.9643995220993,11.8537045468718,383,-0.0424358225896696,Wood
1389_5,5,383,Multiparous,Group1,33.8836206577448,9.70706715297329,0.0104965251482213,0.0610343791689325,48.8219816790012,25.0890789859639,10.3332122719895,383,-0.0441557071530673,Wilmink
1404_1,1,339,Primiparous,Group1,10.0837700931113,0.0342958962533092,0.0493887734066986,0.00111052450253885,69.4528946381751,18.2783889024561,13.8580471909124,339,-0.0163991436881138,Dijkstra
1404_1,1,339,Primiparous,Group1,8.97416838885323,0.198833393724904,,0.00223869042055587,88.8168332249945,17.9501424146231,13.381024109352,339,-0.0182630924540983,Wood
1404_1,1,339,Primiparous,Group1,19.843548627665,10.5039085995964,0.04695572710396,0.0180358459816476,70.4619350986851,18.1886047985801,13.7293955568025,339,-0.0166055015083851,Wilmink
1407_1,1,347,Primiparous,Group1,39.2339827289301,0.0480826392815559,0.0996098262068392,0.00107238413592522,38.1793342371035,60.3731408620804,43.8219915862136,347,-0.0535946946263443,Dijkstra
1407_1,1,347,Primiparous,Group1,44.6565574793443,0.0909699032684675,,0.00165878705574029,54.8412184394996,58.6926769542858,42.7562148597929,347,-0.0545472636809746,Wood
1407_1,1,347,Primiparous,Group1,62.6664239744185,24.7409631774733,0.0997058050721105,0.0556234370333015,38.0326858031159,59.9930396583539,43.3650913238629,347,-0.0538178233439123,Wilmink
1414_2,2,355,Multiparous,Group1,10.965131238184,0.0369612327330568,0.00133289185157552,0.0337140029664353,68.9900909285013,12.2437696592436,2.41076444856917,355,-0.0343799459347275,Dijkstra
1414_2,2,355,Multiparous,Group1,4.0089867353078,0.389635084136615,,0.00690803880184585,56.4031406471695,13.0673479651414,3.40133451571225,355,-0.032371450491405,Wood
1414_2,2,355,Multiparous,Group1,17.6089108056697,7.43678414711715,0.0178697711724783,0.0443953991538521,61.3557492756731,12.4006123953244,1.83547272706536,355,-0.0359793854032498,Wilmink
1416_3,3,352,Multiparous,Group1,21.6030162899089,0.259710369418663,6.30377408481605e-05,0.259107527040423,36.8653512853921,21.8443136350621,9.75952071937622,352,-0.038348029850028,Dijkstra
1416_3,3,352,Multiparous,Group1,14.5166389695829,0.156495186403386,,0.00337882457339726,46.3164579882398,22.6245860864357,11.0627024492969,352,-0.0378230491607363,Wood
1416_3,3,352,Multiparous,Group1,63.8474586574297,41.9397593034454,0.00275652541423502,0.110050656005555,17.8719542924684,21.9569520309166,9.21569670644406,352,-0.0381328520253135,Wilmink
1422_1,1,504,Primiparous,Group2,25.9526930934165,0.272472705186963,0.000120337581588564,0.268465275196835,123.12751951655,33.1943138849095,3.30197873928912,504,-0.0784838408584348,Dijkstra
1422_1,1,504,Primiparous,Group2,6.64317528575202,0.490099049788977,,0.00589830596547959,83.091493160465,35.5059589490309,7.174424608477,504,-0.0673104341684282,Wood
1422_1,1,504,Primiparous,Group2,52.4614171299797,28.7851336428244,0.0118211462090963,0.103296365884181,100.8486676173,33.3058463793148,0.325626348263121,504,-0.0818060549028386,Wilmink
1428_3,3,362,Multiparous,Group1,19.8129033826274,0.0265454493307316,0.0444245785965571,0.0033936785887469,46.3019331982004,28.5126348549663,10.5419380246824,362,-0.0569236834812998,Dijkstra
1428_3,3,362,Multiparous,Group1,16.4338825114129,0.192475880909599,,0.00448830955001904,42.8838249155036,27.9464145435166,10.0600945469919,362,-0.0560495562213001,Wood
1428_3,3,362,Multiparous,Group1,31.1289655701275,17.7315804420453,0.0869209807362156,0.0607081417525944,37.2093002931076,28.1716290002538,9.15261825568789,362,-0.0585577443003436,Wilmink
1429_2,2,333,Multiparous,Group1,22.1821400731734,0.0187052298968261,0.0340696470420445,0.00274782786779482,56.2962223443625,30.3552974623487,15.3833146358412,333,-0.0541083426954163,Dijkstra
1429_2,2,333,Multiparous,Group1,16.9341092232496,0.194379979071825,,0.00375396117047155,51.7799652806232,30.0291424653668,15.0029587405153,333,-0.0534321238522205,Wood
1429_2,2,333,Multiparous,Group1,34.3842615262941,13.8267927362955,0.0479372601423263,0.0593102198665984,50.3516397890326,30.1606479382561,14.6339566962398,333,-0.0549328898650866,Wilmink
1450_6,6,405,Multiparous,Group2,18.3130108402016,0.012081516883532,0.00622245969267798,0.00635184964737749,103.324205003254,23.8579191445667,8.33535179314124,405,-0.0514544673747951,Dijkstra
1450_6,6,405,Multiparous,Group2,7.25526508336142,0.364902678609537,,0.00471980065375666,77.3131548085823,24.6153937299193,9.59308601066099,405,-0.0458434872797016,Wood
1450_6,6,405,Multiparous,Group2,34.479625845042,17.5478099585658,0.0147770165729537,0.0662394267429689,92.3546597083941,23.8795080066261,7.6084903597354,405,-0.0520430518226007,Wilmink
1456_1,1,384,Primiparous,Group1,28.9513310288893,0.067515215073667,0.0791435093706447,0.00122526070182603,50.6573359418438,62.8744282868422,42.4441619170612,384,-0.0612890834946249,Dijkstra
1456_1,1,384,Primiparous,Group1,36.4149682010492,0.154836286083799,,0.00210204400997587,73.6598688462173,60.6946616321142,40.8199281517308,384,-0.0640417770221759,Wood
1456_1,1,384,Primiparous,Group1,66.3586454667538,43.7028838373706,0.079156882029468,0.0640501309939941,50.3958676437982,62.32162924861,41.7633951650573,384,-0.061624638574926,Wilmink
1459_1,1,440,Primiparous,Group2,26.2185955206956,0.122294527515112,0.000267490781380373,0.117663128199449,144.328710087541,36.544853928935,9.56738257816352,440,-0.091241430166449,Dijkstra
1459_1,1,440,Primiparous,Group2,7.29845581269714,0.461447610984318,,0.00482751294049445,95.5870272482492,37.7291654187581,14.4729987138038,440,-0.0675240729730497,Wood
1459_1,1,440,Primiparous,Group2,82.3281870497003,57.9904356516789,0.00648953683727422,0.16166937342647,130.196643177532,36.367064246176,7.85729775870453,440,-0.0920253633785153,Wilmink
1495_1,1,410,Primiparous,Group2,18.6529712302205,0.0479376660518435,0.0731142920853794,0.00123041310399163,50.0935107033172,33.2214232371902,21.6973451941504,410,-0.0320196450626932,Dijkstra
1495_1,1,410,Primiparous,Group2,23.1854464481511,0.106324774503184,,0.0017843797607007,59.5864046683829,32.1944732542439,21.1490634895097,410,-0.0315210651409838,Wood
1495_1,1,410,Primiparous,Group2,34.9323712231526,21.3331076563219,0.0845850595838601,0.0332244764529781,47.2273831712068,32.9704724674665,21.3103358774315,410,-0.0321417219743953,Wilmink
1509_1,1,349,Primiparous,Group1,18.1314978804289,0.346389622805064,0.000139291953424079,0.341794602455495,95.8723000356739,22.5882074416872,5.00255476045021,349,-0.0694734423917865,Dijkstra
1509_1,1,349,Primiparous,Group1,4.62828672346997,0.503329912937815,,0.00711908465071602,70.7014929071242,23.8616010498357,7.34969678944154,349,-0.059331630747425,Wood
1509_1,1,349,Primiparous,Group1,42.9709989401545,25.7903367864936,0.00996510430468477,0.11001458556539,85.1447531635668,22.5638508617454,3.77964221602541,349,-0.0711913402175569,Wilmink
1512_1,1,388,Primiparous,Group1,18.1985108445676,0.0373491406044176,0.0525113054401704,0.00111745761792565,66.8285381910208,33.6711175432955,24.0233254109806,388,-0.0300393816996514,Dijkstra
1512_1,1,388,Primiparous,Group1,17.1775527092572,0.186010407202667,,0.00209501474453057,88.7871589869629,32.8542383096778,23.0933977758499,388,-0.0326217300727499,Wood
1512_1,1,388,Primiparous,Group1,36.2506681442851,19.546189161895,0.0507931015117402,0.0322994922273901,67.4400514333194,33.4364855973245,23.7184651060935,388,-0.0303157663166694,Wilmink
1514_3,3,454,Multiparous,Group2,6.63681447620346,0.523225602944481,8.17354254494885e-05,0.519899171791783,78.0303256283184,7.55549716665974,0.386532516384356,454,-0.0190679332375839,Dijkstra
1514_3,3,454,Multiparous,Group2,2.2490885172308,0.422140204129066,,0.00731933247306271,57.6746862753764,8.16687777593,1.07276871223741,454,-0.01789971222636,Wood
1514_3,3,454,Multiparous,Group2,10.220346786144,3.69276432598538,0.018700658194674,0.0237394036785271,57.0994751684696,7.59539714884556,-0.558101320950495,454,-0.0205429269040572,Wilmink
1517_1,1,325,Primiparous,Group1,26.6832231450453,0.0197863577107803,0.0334583964070512,0.00148464673188056,77.4040635794301,41.1044496305109,29.7516798939493,325,-0.0458520034726164,Dijkstra
1517_1,1,325,Primiparous,Group1,20.2428075201881,0.204438932301196,,0.00251486656696615,81.2921587914797,40.5482722214102,29.1631800643696,325,-0.0467161503732633,Wood
1517_1,1,325,Primiparous,Group1,46.4890397693104,20.9718525749644,0.0340031244916447,0.0525392625412206,76.7009765500116,40.9140965900612,29.4134465986244,325,-0.0463177415345462,Wilmink
1523_1,1,358,Primiparous,Group1,2.77029586049833,0.0643018994459316,0.0860347141138048,0.000853506353197208,50.235437041595,5.54863631206429,4.30937837986437,358,-0.00402664270469441,Dijkstra
1523_1,1,358,Primiparous,Group1,3.29468972963255,0.144723371542779,,0.00172615222780341,83.8416040090188,5.41167261553586,4.15952157741888,358,-0.00456725402696831,Wood
1523_1,1,358,Primiparous,Group1,5.79373868029745,3.13635850943611,0.0767427357943127,0.00423127954236725,52.6566673639403,5.51579770435273,4.27894060412631,358,-0.00405070937540542,Wilmink
1525_4,4,460,Multiparous,Group2,9.22544026402458,0.127590224714524,7.59395244559961e-05,0.127924404295635,-34.4450254916263,9.27871284461454,2.87187213240723,460,-0.0129576401458119,Dijkstra
1525_4,4,460,Multiparous,Group2,6.64010902079988,0.126817381721571,,0.00319057113445282,39.7475487545649,9.33081270532548,3.33013135925686,460,-0.0142787539448857,Wood
1525_4,4,460,Multiparous,Group2,10.6711894643167,1.4682051032253,0.0116572703252015,0.017232055797696,-0.583384798118576,9.20301846704838,2.73755806454129,460,-0.014037545894846,Wilmink
1528_3,3,398,Multiparous,Group1,51.1699825162737,0.059368958063768,0.000329996993898477,0.0578774255278134,77.1039658706321,54.1853607475482,20.964911249824,398,-0.103524026365285,Dijkstra
1528_3,3,398,Multiparous,Group1,27.4526053903039,0.231820285496298,,0.00370903109710949,62.5015750547251,56.7844275764387,25.1296321562334,398,-0.0943515470314611,Wood
1528_3,3,398,Multiparous,Group1,86.9637023477585,36.8258955972875,0.0079976635412825,0.163940622239115,73.2521965103451,54.4561271353553,20.1886001168981,398,-0.105520427390816,Wilmink
1529_3,3,421,Multiparous,Group2,27.1838944169651,0.0121299563367623,0.011539491560654,0.0054261278953947,69.7129794940836,33.2914212220988,7.85563832533446,421,-0.0724074087910571,Dijkstra
1529_3,3,421,Multiparous,Group2,16.0690386998617,0.261469611632548,,0.00516949011610825,50.5793812851682,34.512178956504,8.8507648568783,421,-0.0692764193004632,Wood
1529_3,3,421,Multiparous,Group2,40.3163482890779,14.582728429477,0.0310713340143379,0.0818474817125645,55.0753941036429,33.1743861357556,5.85852809191312,421,-0.0746488692033444,Wilmink
1530_1,1,330,Primiparous,Group1,34.2446596192448,0.0626018169764139,0.000248942125889345,0.0613570060654469,80.6811617874017,36.0021596352992,22.6129813278083,330,-0.0537030350513418,Dijkstra
1530_1,1,330,Primiparous,Group1,22.4454710171888,0.159283182282342,,0.00253880072443158,62.7395371166851,37.0059038875007,24.4586161031079,330,-0.0469477888686848,Wood
1530_1,1,330,Primiparous,Group1,77.77670135856,43.7969615780181,0.00440064203359756,0.13654742154519,78.3165102061837,36.0538065756477,22.4652848235383,330,-0.0539905170706325,Wilmink
1560_1,1,401,Primiparous,Group2,15.5157286988232,0.0413615923534675,0.0491086470303035,0.000707316688425952,82.8495541214565,33.4849780209203,27.1253006990633,401,-0.0199895282381118,Dijkstra
1560_1,1,401,Primiparous,Group2,15.2599889552885,0.203564212068193,,0.00169995905384468,119.746538369737,32.9767133195883,26.1462756187977,401,-0.0242857018050495,Wood
1560_1,1,401,Primiparous,Group2,35.6535634983979,22.6342522698327,0.0457147261367883,0.0215887838180776,84.6491107331319,33.3538420501392,26.9964609399195,401,-0.0200959798942015,Wilmink
1581_2,2,390,Multiparous,Group1,38.6659152475336,0.0528740958751301,0.0795986155736097,0.00218640159518484,40.0215057730529,66.9701192844706,32.0251277061595,390,-0.0998489683073231,Dijkstra
1581_2,2,390,Multiparous,Group1,48.069952483279,0.111261355595831,,0.00282701933469274,39.3564183415545,64.7168088589667,30.9979578578992,390,-0.0961627497688301,Wood
1581_2,2,390,Multiparous,Group1,70.21151678028,48.2800191691285,0.116271430368733,0.102991098168822,34.3876616669834,65.7841121026712,30.0449884944395,390,-0.100500235103664,Wilmink
1603_3,3,357,Multiparous,Group1,30.0329897159988,0.0138787092347562,0.00459680576473483,0.00855194554635002,105.333393355648,38.8725273741956,16.1741362963763,357,-0.0901923039392193,Dijkstra
1603_3,3,357,Multiparous,Group1,11.3176322386105,0.374284976710012,,0.00475615787533739,78.6948176491012,39.8868584492741,18.6969745759987,357,-0.0761390201011719,Wood
1603_3,3,357,Multiparous,Group1,64.6107846054058,36.0650343224925,0.0108000315226574,0.13595009781082,97.4612877547411,38.7729777240795,15.3134395837838,357,-0.0903893601742419,Wilmink
1607_2,2,404,Multiparous,Group2,21.9355625672332,0.029179271335403,0.00103355637802603,0.0269877412649951,75.5409548929579,23.8028972108202,6.18365066505877,404,-0.0536421414122406,Dijkstra
1607_2,2,404,Multiparous,Group2,9.2668026551929,0.319772411279499,,0.00510150212687573,62.6820107738216,25.2773327551872,8.04071857581173,404,-0.0505001632596441,Wood
1607_2,2,404,Multiparous,Group2,34.2859203878434,13.4690401644118,0.0134967653621207,0.0711258346691079,69.5272631429355,24.0708927495107,5.49337171944762,404,-0.0555427064239381,Wilmink
1642_1,1,374,Primiparous,Group1,18.3746745548636,0.0259933173623667,0.0312294862248378,0.00271864863642101,72.2940022836719,31.8077500846545,15.2796859783497,374,-0.0547820203489787,Dijkstra
1642_1,1,374,Primiparous,Group1,11.8480440157426,0.295304267254235,,0.00410563463094875,71.9265823188933,31.1705895264858,14.674531751516,374,-0.0546094320433862,Wood
