ID,n,obs_mean,pred_mean,R2_adj,RMSPE,RMSE_perc,MAE,MAE_perc,RMSPE_adj,MAE_adj,DW,CCC,Cb,r,mean_bias,slope_bias,random_error,mean_bias_perc_MSPE,slope_bias_perc_MSPE,random_error_perc_MSPE,Model,Parity,maxDIM,Parity_class,Lac_len_group
1369_1,316,27.1868441864825,27.1863445427883,0.861651703574973,1.30144225484198,4.78702951293281,1.03791700073389,3.81771784034407,1.30975826440766,1.05122362894843,1.97834834114002,0.92653168603119,0.997383651350448,0.928962174963139,2.49643821162446e-07,1.72540706957154e-05,1.69373443897365,1.4739101687242e-05,0.00101868935236947,99.9989665715459,Dijkstra,1,357,Primiparous,Group1
1416_3,308,17.6307526051351,17.6351035878307,0.882990758983696,1.3823729925271,7.84069190628012,1.09643142667514,6.21885776081842,1.39143783058948,1.1108581559735,1.87109568461367,0.938321212316969,0.997906777510059,0.940289447335186,1.89310504168703e-05,0.000147201323120766,1.91078895809479,0.000990659095616461,0.00770302367936289,99.9913063172249,Dijkstra,3,352,Multiparous,Group1
1495_1,361,27.6586561699364,27.6581819854637,0.867159609983781,1.3791775079633,4.98642269345826,1.10840629173762,4.00744810206074,1.38688247019343,1.12082540985233,2.14520489060296,0.929557473974762,0.997583954534841,0.931808766319023,2.24850914197664e-07,1.36910442165661e-05,1.90211668257674,1.18210029520741e-05,0.000719774143140601,99.9992684048538,Dijkstra,1,410,Primiparous,Group2
1528_3,351,43.2829085058787,43.2823051541483,0.983508001590436,1.37763974160139,3.18287238348198,1.07195405833898,2.47662205554738,1.38555727657189,1.08431087745528,1.8794924406727,0.991759163675363,0.999967885690191,0.991791014359264,3.64033310616656e-07,5.97211936714763e-06,1.89788492148686,1.91809361654058e-05,0.000314671314444819,99.9996661477495,Dijkstra,3,398,Multiparous,Group1
1642_1,331,24.3206292967368,24.3195469851822,0.932343928218665,1.4223068633461,5.84814992240736,1.12325524187967,4.61852869091005,1.43097954654023,1.1369953671626,2.00087273053561,0.965348172683807,0.999430283836825,0.965898460648824,1.17139830117677e-06,2.45637916080026e-05,2.02293107833151,5.7905254988498e-05,0.00121425190314586,99.9987278428424,Dijkstra,1,374,Primiparous,Group1
1719_5,377,13.8046332621403,13.8177545490689,0.980296054693918,1.34828062817097,9.76687031497369,1.08082120761787,7.82940906211581,1.35549073641544,1.09241178357087,2.0222687025477,0.990110720949316,0.999928719416473,0.990181301650295,0.000172168170662647,0.000361945723176701,1.81732653840725,0.00947092234185893,0.0199105317956324,99.9706185458621,Dijkstra,5,431,Multiparous,Group2
1807_2,345,22.6076445400957,22.6071230578597,0.932425183128643,1.3098296466049,5.79374664300765,1.03225560999515,4.56595824551467,1.31748953439856,1.04436418020037,1.91172180237914,0.96536310794382,0.999416341733198,0.965926879151963,2.71943722492755e-07,5.81037117334122e-06,1.71564762081021,1.58507350287184e-05,0.000338668063535053,99.9996454812016,Dijkstra,2,392,Multiparous,Group1
1917_1,358,22.844747752162,22.8444474295364,0.918117995015842,1.3999269829375,6.12800367999252,1.11126172981521,4.86440796751646,1.40781395792475,1.12381835953063,2.11859002296789,0.957697720016738,0.999117352686926,0.958543776105181,9.01936794634037e-08,2.12122561891025e-06,1.95979334613719,4.60219838317521e-06,0.000108237086808945,99.9998871607152,Dijkstra,1,408,Primiparous,Group2
1978_2,281,28.3190476148701,28.32276675926,0.972420548095177,1.4906778139911,5.26386986689607,1.18427611215826,4.18190656784803,1.5014022530822,1.20137757226163,2.06641899617685,0.986151186782742,0.999884968702084,0.98626463808415,1.38320349933562e-05,0.000140432460785187,2.2219660806295,0.000622470111652589,0.00631975046235714,99.9930577794262,Dijkstra,2,316,Multiparous,Group1
1035_2,345,24.3883814638953,24.3860052630145,0.974610199653198,1.35914011354681,5.57290001207703,1.057861456389,4.3375631874344,1.36708836910251,1.07027038842875,2.11354982407558,0.987265613990292,0.999928731329913,0.987335980112523,5.64633062581305e-06,4.68534986164754e-05,1.84720934842278,0.000305659461930416,0.00253637559075938,99.9971579649466,Dijkstra,2,392,Multiparous,Group1
1117_1,376,29.9896622262614,29.9886386363654,0.960915602260938,1.46615057050964,4.88885323031667,1.15191803073057,3.84105036608868,1.47401202402465,1.16430424611477,1.93072345003385,0.980242053401952,0.999815775231085,0.980422671542056,1.04773627509247e-06,1.7660239020366e-05,2.14957878743043,4.87410446528599e-05,0.000821560271544357,99.9991296986835,Dijkstra,1,421,Primiparous,Group2
1206_3,330,11.7768872845715,11.7765705279201,0.732768006891464,1.33825461131227,11.363398315491,1.05778223415668,8.98184901151637,1.34643973112111,1.07076115727517,1.90987484219429,0.847495234059283,0.98840055213013,0.857441077134996,1.00334776226937e-07,2.79422856074043e-06,1.79092251013523,5.60239840049755e-06,0.000156021493324605,99.9998383761082,Dijkstra,3,371,Multiparous,Group1
1375_2,380,26.3539058355172,26.3532648636096,0.975789957357171,1.40347144326162,5.32547794630942,1.12834262007304,4.2815005377775,1.41091696735662,1.14034626496744,2.20154537362669,0.98784735640106,0.999928662870705,0.987917831623147,4.10844986323754e-07,3.56335413398541e-06,1.96972811785172,2.08579119963461e-05,0.000180905522551308,99.9997982365648,Dijkstra,2,425,Multiparous,Group2
1422_1,448,21.8007395321983,21.818977370631,0.981444383900515,1.40340301146321,6.43741011349854,1.11932025442056,5.13432240574863,1.4097104725088,1.1294042206766,1.8739103629604,0.990670403195183,0.999921813264722,0.990747866536351,0.000332618750695852,0.000994237893199011,1.96821315594016,0.0168881438595127,0.0504807156415465,99.9326311405012,Dijkstra,1,504,Primiparous,Group2
